simFolder,doGraphs,numRepeats,numScenarios,numPolicies
2020_08_17-14_31_20,0,1,1,1
2020_08_17-14_32_31,0,1,1,1
2020_08_17-14_33_26,0,1,1,1
2020_08_17-14_41_42,0,1,1,1
2020_08_17-15_05_42,0,1,1,1
2020_08_17-18_05_58,0,1,1,1
2020_08_18-11_56_29,0,1,1,1
2020_08_18-11_57_10,0,1,1,1
2020_08_18-13_58_24,0,1,1,1
2020_08_18-14_02_42,0,1,1,1
2020_08_18-14_18_01,0,1,1,1
2020_08_18-15_10_12,0,1,1,1
2020_08_18-15_34_26,0,1,1,1
2020_08_18-15_55_27,0,1,1,1
2020_08_18-16_24_25,0,1,1,1
2020_08_19-08_55_39,0,1,1,1
2020_08_19-08_58_53,0,1,1,1
2020_08_19-09_25_27,0,1,1,1
2020_08_19-09_34_11,0,1,1,1
2020_08_19-09_57_19,0,1,1,1
2020_08_19-10_41_49,0,1,1,1
2020_08_19-10_58_31,0,1,1,1
2020_08_19-11_07_03,0,1,1,1
2020_08_19-11_23_40,0,1,1,1
2020_08_19-11_42_24,0,1,1,1
2020_08_19-11_51_44,0,1,1,1
2020_08_19-11_59_57,0,1,1,1
2020_08_19-12_00_38,0,1,1,1
2020_08_19-12_01_15,0,1,1,1
2020_08_19-12_08_36,0,1,1,1
2020_08_19-12_34_36,0,1,1,1
2020_08_19-14_02_33,0,1,1,1
2020_08_19-14_18_11,0,1,1,1
2020_08_19-14_40_48,0,1,1,1
2020_08_19-15_00_03,0,1,1,1
2020_08_19-15_16_32,0,1,1,1
2020_08_19-15_29_45,0,1,1,1
2020_08_19-16_03_36,0,1,1,1
2020_08_19-18_59_59,0,1,1,1
2020_08_19-19_08_54,0,1,1,1
2020_08_19-19_25_18,0,1,1,1
2020_08_19-20_49_22,0,1,1,1
2020_08_19-22_29_20,0,1,1,1
2020_08_21-11_45_34,0,1,1,1
2020_08_21-11_59_43,0,1,1,1
2020_08_27-16_21_06,0,1,1,1
2020_08_27-17_31_30,0,1,1,1
2020_08_27-17_54_19,0,1,1,1
2020_08_27-18_23_48,0,1,1,1
2020_08_27-18_41_41,0,1,1,1
2020_08_27-19_08_24,0,1,1,1
2020_08_27-23_34_02,0,1,1,1
2020_08_28-17_40_53,0,1,1,1
2020_08_28-17_41_59,0,1,1,1
2020_08_28-18_02_29,0,1,1,1
2020_08_28-18_12_48,0,1,1,1
2020_08_28-18_36_27,0,1,1,1
2020_08_28-19_03_04,0,1,1,1
2020_08_28-22_02_26,0,1,1,1
2020_08_29-07_51_46,0,1,1,1
2020_08_29-09_05_50,0,1,1,1
2020_08_29-09_42_00,0,1,1,1
2020_08_29-10_06_24,0,1,1,1
2020_08_29-22_17_15,0,1,1,1
2020_08_31-17_52_43,0,1,1,1
2020_09_02-10_34_06,0,1,1,1
2020_09_02-10_38_02,0,1,1,2
2020_09_02-10_39_41,0,1,1,2
2020_09_02-15_02_00,0,1,1,2
2020_09_02-16_47_49,0,1,1,2
2020_09_02-20_40_22,0,1,1,2
2020_09_03-17_39_01,0,1,1,1
2020_09_03-17_43_29,0,1,1,2
2020_09_03-20_41_25,0,1,1,2
2020_09_04-08_44_32,0,1,1,2
2020_09_05-15_14_49,0,1,1,2
2020_09_05-16_44_54,0,1,1,2
2020_09_05-19_40_24,0,1,1,2
2020_09_06-16_21_55,0,1,1,2
2020_09_11-00_04_06,0,1,1,2
2020_09_18-10_33_30,0,1,1,2
2020_09_18-10_55_53,0,1,1,2
2020_09_18-11_17_00,0,1,1,2
2020_09_18-11_33_10,0,1,1,2
2020_09_18-11_59_16,0,1,1,1
2020_09_18-12_15_18,0,1,1,1
2020_09_18-12_47_53,0,1,1,2
2020_09_18-15_03_55,0,1,1,1
2020_09_18-15_33_27,0,1,1,1
2020_09_18-16_06_04,0,1,1,1
2020_09_18-16_53_23,0,1,1,1
2020_09_18-17_16_25,0,1,1,1
2020_09_18-17_50_49,0,1,1,1
2020_09_18-21_45_03,0,1,1,1
2020_09_18-23_26_43,0,1,1,1
2020_09_19-01_11_20,0,1,1,1
2020_09_19-01_12_39,0,1,1,1
2020_09_19-01_13_27,0,1,1,2
2020_09_19-08_46_35,0,1,1,1
2020_09_19-08_48_03,0,1,1,2
2020_09_19-09_17_10,0,1,1,2
2020_09_19-11_37_11,0,1,1,2
2020_09_19-23_27_12,0,1,1,2
2020_09_20-17_31_10,0,1,1,2
2020_09_20-23_49_55,0,1,1,2
2020_09_21-22_49_22,0,1,1,2
2020_09_22-13_20_18,0,1,1,2
2020_09_22-23_35_34,0,1,1,2
2021_02_19-12_21_41,0,1,1,3
2021_02_20-23_17_57,0,1,1,3
2021_02_23-08_53_58,0,1,1,3
2021_02_23-22_13_20,0,1,1,3
2021_02_23-22_46_39,0,1,1,3
2021_02_24-11_44_18,0,1,1,3
2021_02_25-09_25_14,0,1,1,1
2021_02_25-09_53_08,0,1,1,1
2021_02_25-11_53_57,0,1,1,1
2021_02_25-12_30_11,0,1,1,1
2021_02_25-12_44_02,0,1,1,1
2021_02_25-12_54_30,0,1,1,1
2021_02_25-13_08_19,0,1,1,1
2021_02_25-13_31_52,0,1,1,1
2021_02_25-23_11_52,0,1,1,1
2021_02_26-08_21_03,0,1,1,1
2021_02_26-10_10_43,0,1,1,1
2021_02_26-10_55_38,0,1,1,1
2021_02_26-10_57_28,0,1,1,1
2021_02_26-11_36_01,0,1,1,1
2021_02_26-11_59_55,0,1,1,1
2021_02_26-12_17_20,0,1,1,1
2021_02_26-22_30_26,0,1,1,1
2021_02_27-09_34_20,0,1,1,1
2021_04_15-19_17_40,0,1,1,1
2021_04_15-22_44_51,0,1,1,1
2021_04_15-23_01_11,0,1,1,1
2021_04_16-00_42_28,0,1,1,1
2021_04_16-00_43_02,0,1,1,1
2021_04_16-09_26_09,0,1,1,1
